Experiment,Group,Group2,Truth,RMSE,CIC
Chion_2022,Point1,Point7,FALSE,0.44 (0.67),88.58 (31.81)
Chion_2022,Point1,Point7,TRUE,2.88 (3.25),42.86 (49.63)
Chion_2022,Point2,Point7,FALSE,0.38 (0.68),91.34 (28.12)
Chion_2022,Point2,Point7,TRUE,0.56 (0.77),84.57 (36.23)
Chion_2022,Point3,Point7,FALSE,0.29 (0.64),97.4 (15.9)
Chion_2022,Point3,Point7,TRUE,0.57 (0.96),81.71 (38.77)
Chion_2022,Point4,Point7,FALSE,0.41 (0.81),95 (21.8)
Chion_2022,Point4,Point7,TRUE,0.92 (1.03),68 (46.78)
Chion_2022,Point5,Point7,FALSE,0.27 (0.6),98.92 (10.33)
Chion_2022,Point5,Point7,TRUE,0.81 (1.04),65.71 (47.6)
Chion_2022,Point6,Point7,FALSE,0.62 (0.81),72.43 (44.69)
Chion_2022,Point6,Point7,TRUE,0.84 (1.13),69.14 (46.32)
Muller_2016,0.5fmol,25fmol,FALSE,0.28 (0.6),98.92 (10.34)
Muller_2016,0.5fmol,25fmol,TRUE,0.78 (1.35),91.12 (28.51)
Muller_2016,10fmol,25fmol,FALSE,0.25 (0.6),99.16 (9.11)
Muller_2016,10fmol,25fmol,TRUE,0.31 (0.6),96.26 (19.01)
Muller_2016,1fmol,25fmol,FALSE,0.27 (0.73),98.68 (11.43)
Muller_2016,1fmol,25fmol,TRUE,0.47 (0.78),92.99 (25.59)
Muller_2016,2.5fmol,25fmol,FALSE,0.26 (0.57),99.04 (9.73)
Muller_2016,2.5fmol,25fmol,TRUE,0.29 (0.55),97.66 (15.14)
Muller_2016,5fmol,25fmol,FALSE,0.22 (0.54),99.25 (8.6)
Muller_2016,5fmol,25fmol,TRUE,0.25 (0.45),97.66 (15.14)
Huang_2020,S1,S5,FALSE,0.45 (1.21),95.85 (19.95)
Huang_2020,S1,S5,TRUE,0.81 (1.45),87.53 (33.08)
Huang_2020,S2,S5,FALSE,0.44 (1.11),96 (19.59)
Huang_2020,S2,S5,TRUE,0.86 (1.45),86.45 (34.27)
Huang_2020,S3,S5,FALSE,0.43 (1.08),96.36 (18.72)
Huang_2020,S3,S5,TRUE,0.71 (1.28),90.51 (29.34)
Huang_2020,S4,S5,FALSE,0.45 (1.14),96.46 (18.47)
Huang_2020,S4,S5,TRUE,0.6 (0.96),89.7 (30.43)
Bouyssie_2020,100amol,50fmol,FALSE,0.21 (0.48),98.85 (10.67)
Bouyssie_2020,100amol,50fmol,TRUE,2.15 (1.95),26 (44.31)
Bouyssie_2020,10amol,50fmol,FALSE,0.19 (0.44),99.08 (9.56)
Bouyssie_2020,10amol,50fmol,TRUE,5.17 (3.08),4 (19.79)
Bouyssie_2020,10fmol,50fmol,FALSE,0.2 (0.47),98.58 (11.81)
Bouyssie_2020,10fmol,50fmol,TRUE,1.86 (1.95),4 (19.79)
Bouyssie_2020,1fmol,50fmol,FALSE,0.18 (0.44),99.23 (8.72)
Bouyssie_2020,1fmol,50fmol,TRUE,0.72 (0.68),46 (50.35)
Bouyssie_2020,250amol,50fmol,FALSE,0.21 (0.47),99.13 (9.27)
Bouyssie_2020,250amol,50fmol,TRUE,0.99 (1.25),62 (49.03)
Bouyssie_2020,25fmol,50fmol,FALSE,0.22 (0.51),98.92 (10.33)
Bouyssie_2020,25fmol,50fmol,TRUE,1.95 (2.27),6 (23.99)
Bouyssie_2020,500amol,50fmol,FALSE,0.17 (0.44),99.45 (7.42)
Bouyssie_2020,500amol,50fmol,TRUE,0.57 (0.79),70 (46.29)
Bouyssie_2020,50amol,50fmol,FALSE,0.21 (0.46),99.21 (8.88)
Bouyssie_2020,50amol,50fmol,TRUE,2.97 (2.41),22 (41.85)
Bouyssie_2020,5fmol,50fmol,FALSE,0.18 (0.42),99.45 (7.38)
Bouyssie_2020,5fmol,50fmol,TRUE,1.74 (1.55),8 (27.4)
