Group,Group2,Multivariate,Nb_peptide,Diff_mean,MSE,CIC,CI_width
1,2,FALSE,10,0.9928872658425669,0.21683067106091503,94.85,1.815586575743198
1,2,FALSE,100,0.9910825704314143,0.21807788063071695,94.097,1.7608983370224323
1,2,TRUE,10,0.9955778851708628,0.2898824372559519,92.58,2.409736192717774
1,2,TRUE,100,0.9915090342130568,0.71304594628844,99.068,6.458536912500679
1,3,FALSE,10,0.9757390730530924,0.38795749248290384,88,1.9436705671918517
1,3,FALSE,100,1.0080758729597776,0.40330008524438615,83.9,1.7764351709074175
1,3,TRUE,10,0.9734624640348954,0.4867806468850175,88.04,2.6413894201833434
1,3,TRUE,100,1.0295886868855824,0.9637004011370601,98.052,6.456967811411545
1,4,FALSE,10,0.9584043169070247,2.1601340464331247,65.58,2.855085399112318
1,4,FALSE,100,0.9836781067823881,2.1990644013306655,48.227,1.9199749316549937
1,4,TRUE,10,0.9549095290220578,2.4480761910118494,76.93,4.418047991659224
1,4,TRUE,100,0.9418310424458874,2.9207628226222244,91.813,7.5394237643801265
1,5,FALSE,10,1.0483224368218462,4.051428840664541,60.84,3.548000046818119
1,5,FALSE,100,0.9425821389325392,4.052270402921324,39.03,2.0529877102900764
1,5,TRUE,10,1.063726793683634,4.5316431424095045,73.64,5.670851908431002
1,5,TRUE,100,0.9512355359637472,4.929139222018287,87.912,8.368206488637991
